Date Reported,Company,Product,Reason,Severity Class,Status,State
20260729,"Rohto-Mentholatum (Vietnam) Co., Ltd.","Rohto Cooling Eye Drops Max Strength (naphazoline hydrochloride 0.03%, polysorbate 90, 0.2%), Sterile 0.4 FL OZ (13 mL), Distributed by: The Mentholatum Company, Orchard Park, NY 14127,  Made in Vietnam, UPC 310742011012,  NDC 10742-8158-1",Lack of Assurance of Sterility,Class II,Ongoing,N/A
20260729,Major Pharmaceuticals,"Levothyroxine Sodium Tablets, USP, 75 mcg (0.075 mg), 10 Tablets (10 x 1) unit dose blisters per carton, Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, IN 46268 USA. Distributed by Cardinal Health, Dublin, OH 43017. NDC Bag: 55154-3560-0; NDC Blister: 0904-6951-61",Subpotent Drug,Class II,Ongoing,OH
20260729,"Rohto-Mentholatum (Vietnam) Co., Ltd.","Rohto Cooling Eye Drops Cool Relief (naphazoline hydrochloride 0.012%, polysorbate 80 0.2%), Sterile, 0.4 FL OZ (13 mL) each, Distributed by: The Mentholatum Company, Orchard Park, NY 14127, Made in Vietnam, UPC 310742010749, NDC 10742-8141-1",Lack of Assurance of Sterility,Class II,Ongoing,N/A
20260729,Major Pharmaceuticals,"Levothyroxine Sodium Tablets, USP, 150 mcg (0.0150 mg), 10 Tablets (10 x 1) unit dose blisters per carton, Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, IN 46268 USA. Distributed by Cardinal Health, Dublin, OH 43017. NDC Bag: 55154-3563-0; NDC Blister: 0904-6956-61",Subpotent Drug,Class II,Ongoing,OH
20260729,Major Pharmaceuticals,"Levothyroxine Sodium Tablets, USP, 88 mcg (0.088 mg), 100 Tablets (10 x 10 unit dose blisters) per carton, Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, IN 46268 USA.  NDC: 0904-6952-61",Subpotent Drug,Class II,Ongoing,OH
20260729,"Fresenius Kabi USA, LLC","Naropin (ropivacaine hydrochloride Injection, USP), 0.5%, 100 mg per 20 mL (5 mg per mL), Twenty-five, 20 mL Single-Dose Vials, Rx only, Fresenius Kabi, Lake Zurich, IL 60047 NDC Tray: 63323-286-23; NDC Vial:  63323-286-05",Presence of Particulate Matter: Hair was found in products,Class II,Ongoing,IL
20260729,Major Pharmaceuticals,"Levothyroxine Sodium Tablets, USP, 75 mcg (0.075 mg), 100 Tablets (10 x 10 unit dose blisters) per carton, Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, IN 46268 USA.  NDC: 0904-6951-61",Subpotent Drug,Class II,Ongoing,OH
20260729,Major Pharmaceuticals,"Levothyroxine Sodium Tablets, USP, 125 mcg (0.0125 mg), 10 Tablets (10 x 1) unit dose blisters per carton, Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, IN 46268 USA. Distributed by Cardinal Health, Dublin, OH 43017. NDC Bag: 55154-3562-0; NDC Blister: 0904-6951-61",Subpotent Drug,Class II,Ongoing,OH
20260729,Major Pharmaceuticals,"Levothyroxine Sodium Tablets, USP, 25 mcg (0.025 mg), 100 Tablets (10 x 10 unit dose blisters) per carton, Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, IN 46268 USA.  NDC: 0904-6949-61",Subpotent Drug,Class II,Ongoing,OH
20260729,"Rohto-Mentholatum (Vietnam) Co., Ltd.","Rohto Cooling Eye Drops Digi Eye (hypromellose 0.35%, tetrahydrozoline HCl 0.05%), Sterile, 0.4 FL OZ (13 mL), Distributed by: The Mentholatum Company, Orchard Park, NY 14127, Made in Vietnam, UPC 310742010602, NDC 10742-8175-1",Lack of Assurance of Sterility,Class II,Ongoing,N/A
